county,obese_1,grade_category,sex
7.0,72.0,2.0,1.0
1.0,13.0,1.0,1.0
8.0,143.0,1.0,1.0
11.0,83.0,0.0,0.0
1.0,56.0,1.0,0.0
13.0,564.0,0.0,0.0
11.0,107.0,0.0,1.0
5.0,245.0,1.0,1.0
7.0,47.0,2.0,0.0
10.0,140.0,0.0,1.0
6.0,166.0,0.0,1.0
9.0,70.0,1.0,1.0
9.0,96.0,1.0,0.0
3.0,172.0,1.0,0.0
5.0,355.0,0.0,1.0
12.0,343.0,2.0,0.0
7.0,41.0,2.0,1.0
9.0,66.0,1.0,1.0
4.0,94.0,2.0,1.0
2.0,288.0,2.0,1.0
5.0,361.0,0.0,0.0
13.0,541.0,2.0,1.0
10.0,20.0,2.0,0.0
3.0,159.0,1.0,1.0
0.0,208.0,2.0,0.0
13.0,584.0,0.0,1.0
4.0,261.0,0.0,1.0
0.0,331.0,1.0,0.0
6.0,128.0,2.0,1.0
12.0,291.0,2.0,0.0
11.0,47.0,1.0,1.0
5.0,373.0,0.0,0.0
13.0,552.0,1.0,1.0
0.0,239.0,2.0,1.0
6.0,91.0,2.0,0.0
0.0,458.0,0.0,1.0
2.0,435.0,0.0,0.0
7.0,35.0,2.0,1.0
11.0,107.0,0.0,0.0
12.0,451.0,0.0,1.0
7.0,178.0,0.0,1.0
6.0,140.0,1.0,1.0
0.0,368.0,1.0,1.0
9.0,149.0,0.0,1.0
0.0,270.0,2.0,1.0
9.0,55.0,2.0,1.0
1.0,107.0,0.0,1.0
12.0,310.0,1.0,0.0
1.0,30.0,1.0,0.0
13.0,571.0,0.0,0.0
12.0,237.0,2.0,0.0
10.0,56.0,1.0,0.0
6.0,194.0,0.0,1.0
1.0,30.0,2.0,0.0
6.0,29.0,2.0,1.0
5.0,191.0,2.0,0.0
13.0,586.0,0.0,1.0
10.0,30.0,2.0,1.0
12.0,344.0,2.0,1.0
10.0,159.0,0.0,1.0
13.0,535.0,2.0,0.0
5.0,236.0,1.0,0.0
4.0,162.0,1.0,0.0
1.0,6.0,2.0,0.0
5.0,420.0,0.0,1.0
0.0,444.0,0.0,0.0
3.0,302.0,0.0,0.0
10.0,53.0,1.0,1.0
4.0,80.0,2.0,1.0
5.0,244.0,1.0,0.0
2.0,297.0,1.0,1.0
6.0,8.0,2.0,0.0
4.0,164.0,1.0,0.0
12.0,484.0,0.0,1.0
8.0,147.0,1.0,1.0
7.0,94.0,1.0,1.0
6.0,303.0,0.0,1.0
6.0,132.0,2.0,1.0
0.0,328.0,1.0,0.0
8.0,237.0,0.0,1.0
6.0,70.0,2.0,0.0
2.0,247.0,2.0,1.0
10.0,47.0,2.0,1.0
4.0,70.0,2.0,0.0
6.0,108.0,1.0,1.0
10.0,49.0,1.0,0.0
1.0,124.0,0.0,0.0
11.0,1.0,2.0,0.0
10.0,43.0,1.0,1.0
9.0,148.0,0.0,1.0
11.0,115.0,0.0,1.0
12.0,364.0,1.0,1.0
1.0,123.0,0.0,0.0
5.0,270.0,1.0,1.0
1.0,23.0,1.0,0.0
13.0,570.0,0.0,0.0
6.0,39.0,2.0,0.0
13.0,575.0,0.0,0.0
9.0,124.0,0.0,1.0
6.0,177.0,0.0,0.0
10.0,58.0,1.0,1.0
6.0,75.0,1.0,1.0
9.0,52.0,1.0,1.0
1.0,159.0,0.0,1.0
9.0,52.0,1.0,1.0
5.0,213.0,1.0,0.0
6.0,229.0,0.0,1.0
2.0,262.0,1.0,0.0
10.0,59.0,1.0,0.0
6.0,12.0,2.0,1.0
0.0,405.0,0.0,0.0
4.0,269.0,0.0,1.0
0.0,260.0,2.0,1.0
2.0,419.0,0.0,1.0
